_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_reg,int_cod_reg,int_desc_circ,int_cod_circ,int_desc_prov,int_cod_prov,int_desc_com,int_cod_com
129,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,VASIA,600
130,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,VENTIMIGLIA,610
131,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,VESSALICO,620
132,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,VILLA FARALDI,630
133,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,AMEGLIA,10
134,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,ARCOLA,20
135,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,BEVERINO,30
136,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,BOLANO,40
137,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,BONASSOLA,50
138,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,BORGHETTO DI VARA,60
139,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,BRUGNATO,70
140,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,CALICE AL CORNOVIGLIO,80
141,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,CARRO,90
142,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,CARRODANO,100
143,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,CASTELNUOVO MAGRA,110
144,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,LA SPEZIA,39,LA SPEZIA,39,DEIVA MARINA,120
