_link,_link_main,cogn,nome,a_nome,d_nasc,l_nasc,pos,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis
26.cand.2,26,MORRA,NICOLA,,19630705000000,GENOVA,7,,,15,3.93,13,3.87
26.cand.3,26,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,3,0.79,3,0.89
26.cand.4,26,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,2,0.52,2,0.60
26.cand.5,26,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,2,0.52,2,0.60
26.cand.6,26,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,1,0.26,1,0.30
26.cand.7,26,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
26.cand.8,26,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,0,0,0,0
27.cand.0,27,BUCCI,MARCO,,19591031000000,GENOVA,8,,,134,56.30,128,57.14
27.cand.1,27,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,93,39.08,85,37.95
27.cand.2,27,MORRA,NICOLA,,19630705000000,GENOVA,7,,,8,3.36,8,3.57
