_link_cand,_link,_link_main,pos,desc_lis_c,img_lis_c,voti,perc,cogn,nome,com_istat_code
5.cand.1,5.cand.1.liste.1,5,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,80,3.90,ORLANDO,ANDREA,010006
5.cand.2,5.cand.2.liste.0,5,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,78,3.80,MORRA,NICOLA,010006
5.cand.0,5.cand.0.liste.5,5,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,55,2.68,BUCCI,MARCO,010006
5.cand.0,5.cand.0.liste.3,5,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,151,7.37,BUCCI,MARCO,010006
5.cand.0,5.cand.0.liste.4,5,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,56,2.73,BUCCI,MARCO,010006
5.cand.1,5.cand.1.liste.2,5,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,62,3.02,ORLANDO,ANDREA,010006
5.cand.1,5.cand.1.liste.4,5,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,21,1.02,ORLANDO,ANDREA,010006
5.cand.3,5.cand.3.liste.0,5,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,10,0.49,FELICE,DAVIDE,010006
5.cand.7,5.cand.7.liste.0,5,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,5,0.24,CELLA,MARIA ANTONIETTA,010006
5.cand.5,5.cand.5.liste.0,5,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,9,0.44,FERRANDO,MARCO GIUSEPPE,010006
6.cand.0,6.cand.0.liste.2,6,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,168,6.92,BUCCI,MARCO,010007
6.cand.0,6.cand.0.liste.0,6,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,480,19.79,BUCCI,MARCO,010007
6.cand.0,6.cand.0.liste.3,6,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,152,6.27,BUCCI,MARCO,010007
6.cand.1,6.cand.1.liste.3,6,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,93,3.83,ORLANDO,ANDREA,010007
6.cand.1,6.cand.1.liste.0,6,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,633,26.09,ORLANDO,ANDREA,010007
6.cand.1,6.cand.1.liste.5,6,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,23,0.95,ORLANDO,ANDREA,010007
6.cand.3,6.cand.3.liste.0,6,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,27,1.11,ROLLANDO,NICOLA,010007
6.cand.8,6.cand.8.liste.0,6,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,1,0.04,ROSSON,ALESSANDRO,010007
6.cand.2,6.cand.2.liste.0,6,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,32,1.32,TOSCANO,FRANCESCO,010007
6.cand.0,6.cand.0.liste.6,6,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,29,1.20,BUCCI,MARCO,010007
6.cand.1,6.cand.1.liste.1,6,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,174,7.17,ORLANDO,ANDREA,010007
6.cand.4,6.cand.4.liste.0,6,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,15,0.62,MORRA,NICOLA,010007
6.cand.0,6.cand.0.liste.5,6,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,32,1.32,BUCCI,MARCO,010007
6.cand.0,6.cand.0.liste.4,6,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,138,5.69,BUCCI,MARCO,010007
6.cand.0,6.cand.0.liste.1,6,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,237,9.77,BUCCI,MARCO,010007
6.cand.1,6.cand.1.liste.2,6,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,118,4.86,ORLANDO,ANDREA,010007
6.cand.1,6.cand.1.liste.4,6,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,46,1.90,ORLANDO,ANDREA,010007
6.cand.5,6.cand.5.liste.0,6,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,12,0.49,FELICE,DAVIDE,010007
6.cand.7,6.cand.7.liste.0,6,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,6,0.25,CELLA,MARIA ANTONIETTA,010007
6.cand.6,6.cand.6.liste.0,6,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,10,0.41,FERRANDO,MARCO GIUSEPPE,010007
